sqft_lot,sqft_basement,how_old,sqft_living15,sqft_lot15,price,large_home_True,renovated_True,bedrooms,bathrooms,floors,waterfront,condition,grade,zipcode
5650,0.0,60,1340,5650,221900.0,0.0,0.0,3,1.0,1,0,3,7,98178
7242,400.0,64,1690,7639,538000.0,0.0,1.0,3,2.25,2,0,3,7,98125
10000,0.0,82,2720,8062,180000.0,0.0,0.0,2,1.0,1,0,3,6,98028
5000,910.0,50,1360,5000,604000.0,0.0,0.0,4,3.0,1,0,5,7,98136
8080,0.0,28,1800,7503,510000.0,0.0,0.0,3,2.0,1,0,3,8,98074
101930,1530.0,14,4760,101930,1230000.0,0.0,0.0,4,4.5,1,0,3,11,98053
6819,0.0,20,2238,6819,257500.0,0.0,0.0,3,2.25,2,0,3,7,98003
9711,0.0,52,1650,9711,291850.0,0.0,0.0,3,1.5,1,0,3,7,98198
7470,730.0,55,1780,8113,229500.0,0.0,0.0,3,1.0,1,0,3,7,98146
6560,0.0,12,2390,7570,323000.0,0.0,0.0,3,2.5,2,0,3,7,98038
9796,1700.0,50,2210,8925,662500.0,0.0,0.0,3,2.5,1,0,3,8,98007
6000,300.0,73,1330,6000,468000.0,0.0,0.0,2,1.0,1,0,4,7,98115
19901,0.0,88,1780,12697,310000.0,0.0,0.0,3,1.0,1,0,4,7,98028
9680,0.0,38,1370,10208,400000.0,0.0,0.0,3,1.75,1,0,4,7,98074
4850,0.0,115,1360,4850,530000.0,0.0,0.0,5,2.0,1,0,3,7,98107
5000,970.0,36,2140,4000,650000.0,0.0,0.0,4,3.0,2,0,3,9,98126
14040,0.0,21,1890,14018,395000.0,0.0,0.0,3,2.0,2,0,3,7,98019
4300,0.0,99,1610,4300,485000.0,0.0,0.0,4,1.0,1,0,4,7,98103
9850,0.0,94,1060,5095,189000.0,0.0,0.0,2,1.0,1,0,4,7,98002
9774,0.0,46,1280,8850,230000.0,0.0,0.0,3,1.0,1,0,4,7,98003
4980,760.0,68,1400,4980,385000.0,0.0,0.0,4,1.75,1,0,4,7,98133
44867,720.0,47,4110,20336,2000000.0,0.0,0.0,3,2.75,1,0,3,9,98040
6300,0.0,20,2240,7005,285000.0,0.0,0.0,5,2.5,2,0,3,8,98092
9643,0.0,30,1220,8386,252700.0,0.0,0.0,2,1.5,1,0,3,7,98030
6500,0.0,30,2200,6865,329000.0,0.0,0.0,3,2.25,2,0,4,8,98030
4697,0.0,74,1030,4705,233000.0,0.0,0.0,3,2.0,1,0,5,6,98002
2691,700.0,100,1760,3573,937000.0,0.0,0.0,3,1.75,2,0,3,8,98119
1581,0.0,106,1860,3861,667000.0,0.0,0.0,3,1.0,1,0,5,8,98112
6380,730.0,67,1520,6235,438000.0,0.0,0.0,3,1.75,1,0,3,7,98115
7173,0.0,10,2630,6026,719000.0,0.0,0.0,4,2.5,2,0,3,8,98052
3980,0.0,12,2580,3980,580500.0,0.0,0.0,3,2.5,2,0,3,8,98027
1265,0.0,10,1390,1756,280000.0,0.0,0.0,2,1.5,3,0,3,7,98133
5000,820.0,86,1460,5000,687500.0,0.0,0.0,4,1.75,1,0,4,7,98117
3000,0.0,86,1570,5080,535000.0,0.0,0.0,3,1.0,1,0,4,8,98117
6659,780.0,34,2020,8720,322500.0,0.0,0.0,4,2.75,1,0,3,7,98058
3060,790.0,85,1590,3264,696000.0,0.0,1.0,3,2.5,1,0,3,8,98115
34848,730.0,82,2160,11467,550000.0,0.0,0.0,4,1.0,1,0,1,5,98052
